regal_code,year_month,time,status
11290,202102,2023-05-07 13:32:17,success
11290,202103,2023-05-07 13:32:18,success
11290,202104,2023-05-07 13:32:19,success
11290,202105,2023-05-07 13:32:21,success
11290,202106,2023-05-07 13:32:22,success
11290,202107,2023-05-07 13:32:23,success
11290,202108,2023-05-07 13:32:24,success
11290,202109,2023-05-07 13:32:26,success
11290,202110,2023-05-07 13:32:27,success
11290,202111,2023-05-07 13:32:28,success
11290,202112,2023-05-07 13:32:29,success
11290,202201,2023-05-07 13:32:30,success
11290,202202,2023-05-07 13:32:32,success
11290,202203,2023-05-07 13:32:33,success
11290,202204,2023-05-07 13:32:34,success
11290,202205,2023-05-07 13:32:35,success
11290,202206,2023-05-07 13:32:37,success
11290,202207,2023-05-07 13:32:38,success
11290,202208,2023-05-07 13:32:39,success
11290,202209,2023-05-07 13:32:40,success
11290,202210,2023-05-07 13:32:41,success
11290,202211,2023-05-07 13:32:43,success
11290,202212,2023-05-07 13:32:44,success
11305,202001,2023-05-07 13:32:45,success
11305,202002,2023-05-07 13:32:46,success
11305,202003,2023-05-07 13:32:48,success
11305,202004,2023-05-07 13:32:49,success
11305,202005,2023-05-07 13:32:50,success
11305,202006,2023-05-07 13:32:51,success
11305,202007,2023-05-07 13:32:52,success
11305,202008,2023-05-07 13:32:54,success
11305,202009,2023-05-07 13:32:55,success
11305,202010,2023-05-07 13:32:56,success
11305,202011,2023-05-07 13:32:57,success
11305,202012,2023-05-07 13:32:59,success
11305,202101,2023-05-07 13:33:00,success
11305,202102,2023-05-07 13:33:01,success
11305,202103,2023-05-07 13:33:02,success
11305,202104,2023-05-07 13:33:03,success
11305,202105,2023-05-07 13:33:05,success
11305,202106,2023-05-07 13:33:06,success
11305,202107,2023-05-07 13:33:07,success
11305,202108,2023-05-07 13:33:08,success
11305,202109,2023-05-07 13:33:10,success
11305,202110,2023-05-07 13:33:11,success
11305,202111,2023-05-07 13:33:12,success
11305,202112,2023-05-07 13:33:13,success
11305,202201,2023-05-07 13:33:15,success
11305,202202,2023-05-07 13:33:16,success
11305,202203,2023-05-07 13:33:17,success
11305,202204,2023-05-07 13:33:19,success
11305,202205,2023-05-07 13:33:20,success
11305,202206,2023-05-07 13:33:21,success
11305,202207,2023-05-07 13:33:22,success
11305,202208,2023-05-07 13:33:23,success
11305,202209,2023-05-07 13:33:25,success
11305,202210,2023-05-07 13:33:26,success
11305,202211,2023-05-07 13:33:27,success
11305,202212,2023-05-07 13:33:28,success
11320,202001,2023-05-07 13:33:30,success
11320,202002,2023-05-07 13:33:31,success
11320,202003,2023-05-07 13:33:32,success
11320,202004,2023-05-07 13:33:34,success
11320,202005,2023-05-07 13:33:35,success
11320,202006,2023-05-07 13:33:36,success
11320,202007,2023-05-07 13:33:37,success
11320,202008,2023-05-07 13:33:39,success
11320,202009,2023-05-07 13:33:40,success
11320,202010,2023-05-07 13:33:41,success
11320,202011,2023-05-07 13:33:42,success
11320,202012,2023-05-07 13:33:43,success
11320,202101,2023-05-07 13:33:45,success
11320,202102,2023-05-07 13:33:46,success
11320,202103,2023-05-07 13:33:47,success
11320,202104,2023-05-07 13:33:48,success
11320,202105,2023-05-07 13:33:50,success
11320,202106,2023-05-07 13:33:51,success
11320,202107,2023-05-07 13:33:52,success
11320,202108,2023-05-07 13:33:53,success
11320,202109,2023-05-07 13:33:55,success
11320,202110,2023-05-07 13:33:56,success
11320,202111,2023-05-07 13:33:57,success
11320,202112,2023-05-07 13:33:58,success
11320,202201,2023-05-07 13:33:59,success
11320,202202,2023-05-07 13:34:01,success
11320,202203,2023-05-07 13:34:02,success
11320,202204,2023-05-07 13:34:03,success
11320,202205,2023-05-07 13:34:05,success
11320,202206,2023-05-07 13:34:06,success
11320,202207,2023-05-07 13:34:07,success
11320,202208,2023-05-07 13:34:08,success
11320,202209,2023-05-07 13:34:09,success
11320,202210,2023-05-07 13:34:11,success
11320,202211,2023-05-07 13:34:12,success
11320,202212,2023-05-07 13:34:14,success
11350,202001,2023-05-07 13:34:15,success
11350,202002,2023-05-07 13:34:16,success
11350,202003,2023-05-07 13:34:17,success
11350,202004,2023-05-07 13:34:18,success
11350,202005,2023-05-07 13:34:20,success
11350,202006,2023-05-07 13:34:21,success
11350,202007,2023-05-07 13:34:22,success
11350,202008,2023-05-07 13:34:23,success
11350,202009,2023-05-07 13:34:24,success
11350,202010,2023-05-07 13:34:26,success
11350,202011,2023-05-07 13:34:27,success
11350,202012,2023-05-07 13:34:28,success
11350,202101,2023-05-07 13:34:29,success
11350,202102,2023-05-07 13:34:31,success
11350,202103,2023-05-07 13:34:32,success
11350,202104,2023-05-07 13:34:33,success
11350,202105,2023-05-07 13:34:34,success
11350,202106,2023-05-07 13:34:35,success
11350,202107,2023-05-07 13:34:37,success
11350,202108,2023-05-07 13:34:38,success
11350,202109,2023-05-07 13:34:39,success
11350,202110,2023-05-07 13:34:40,success
11350,202111,2023-05-07 13:34:41,success
11350,202112,2023-05-07 13:34:43,success
11350,202201,2023-05-07 13:34:44,success
11350,202202,2023-05-07 13:34:45,success
11350,202203,2023-05-07 13:34:46,success
11350,202204,2023-05-07 13:34:48,success
11350,202205,2023-05-07 13:34:49,success
11350,202206,2023-05-07 13:34:51,success
11350,202207,2023-05-07 13:34:52,success
11350,202208,2023-05-07 13:34:53,success
11350,202209,2023-05-07 13:34:54,success
11350,202210,2023-05-07 13:34:55,success
11350,202211,2023-05-07 13:34:57,success
11350,202212,2023-05-07 13:34:58,success
11380,202001,2023-05-07 13:34:59,success
11380,202002,2023-05-07 13:35:00,success
11380,202003,2023-05-07 13:35:02,success
11380,202004,2023-05-07 13:35:03,success
11380,202005,2023-05-07 13:35:04,success
11380,202006,2023-05-07 13:35:05,success
11380,202007,2023-05-07 13:35:07,success
11380,202008,2023-05-07 13:35:08,success
11380,202009,2023-05-07 13:35:09,success
11380,202010,2023-05-07 13:35:10,success
11380,202011,2023-05-07 13:35:12,success
11380,202012,2023-05-07 13:35:13,success
11380,202101,2023-05-07 13:35:14,success
11380,202102,2023-05-07 13:35:15,success
11380,202103,2023-05-07 13:35:17,success
11380,202104,2023-05-07 13:35:18,success
11380,202105,2023-05-07 13:35:19,success
11380,202106,2023-05-07 13:35:20,success
11380,202107,2023-05-07 13:35:21,success
11380,202108,2023-05-07 13:35:23,success
11380,202109,2023-05-07 13:35:24,success
11380,202110,2023-05-07 13:35:25,success
11380,202111,2023-05-07 13:35:26,success
11380,202112,2023-05-07 13:35:28,success
11380,202201,2023-05-07 13:35:29,success
11380,202202,2023-05-07 13:35:30,success
11380,202203,2023-05-07 13:35:31,success
11380,202204,2023-05-07 13:35:32,success
11380,202205,2023-05-07 13:35:34,success
11380,202206,2023-05-07 13:35:35,success
11380,202207,2023-05-07 13:35:36,success
11380,202208,2023-05-07 13:35:37,success
11380,202209,2023-05-07 13:35:39,success
11380,202210,2023-05-07 13:35:40,success
11380,202211,2023-05-07 13:35:41,success
11380,202212,2023-05-07 13:35:43,success
11410,202001,2023-05-07 13:35:44,success
11410,202002,2023-05-07 13:35:45,success
11410,202003,2023-05-07 13:35:47,success
11410,202004,2023-05-07 13:35:48,success
11410,202005,2023-05-07 13:35:49,success
11410,202006,2023-05-07 13:35:50,success
11410,202007,2023-05-07 13:35:52,success
11410,202008,2023-05-07 13:35:53,success
11410,202009,2023-05-07 13:35:54,success
11410,202010,2023-05-07 13:35:55,success
11410,202011,2023-05-07 13:35:56,success
11410,202012,2023-05-07 13:35:58,success
11410,202101,2023-05-07 13:35:59,success
11410,202102,2023-05-07 13:36:00,success
11410,202103,2023-05-07 13:36:01,success
11410,202104,2023-05-07 13:36:03,success
11410,202105,2023-05-07 13:36:04,success
11410,202106,2023-05-07 13:36:05,success
11410,202107,2023-05-07 13:36:06,success
11410,202108,2023-05-07 13:36:08,success
11410,202109,2023-05-07 13:36:09,success
11410,202110,2023-05-07 13:36:10,success
11410,202111,2023-05-07 13:36:11,success
11410,202112,2023-05-07 13:36:12,success
11410,202201,2023-05-07 13:36:14,success
11410,202202,2023-05-07 13:36:15,success
11410,202203,2023-05-07 13:36:16,success
11410,202204,2023-05-07 13:36:17,success
11410,202205,2023-05-07 13:36:19,success
11410,202206,2023-05-07 13:36:20,success
11410,202207,2023-05-07 13:36:21,success
11410,202208,2023-05-07 13:36:22,success
11410,202209,2023-05-07 13:36:24,success
11410,202210,2023-05-07 13:36:25,success
11410,202211,2023-05-07 13:36:26,success
11410,202212,2023-05-07 13:36:28,success
11440,202001,2023-05-07 13:36:29,success
11440,202002,2023-05-07 13:36:30,success
11440,202003,2023-05-07 13:36:31,success
11440,202004,2023-05-07 13:36:33,success
11440,202005,2023-05-07 13:36:34,success
11440,202006,2023-05-07 13:36:35,success
11440,202007,2023-05-07 13:36:36,success
11440,202008,2023-05-07 13:36:37,success
11440,202009,2023-05-07 13:36:39,success
11440,202010,2023-05-07 13:36:40,success
11440,202011,2023-05-07 13:36:41,success
11440,202012,2023-05-07 13:36:42,success
11440,202101,2023-05-07 13:36:44,success
11440,202102,2023-05-07 13:36:45,success
11440,202103,2023-05-07 13:36:46,success
11440,202104,2023-05-07 13:36:47,success
11440,202105,2023-05-07 13:36:48,success
11440,202106,2023-05-07 13:36:50,success
11440,202107,2023-05-07 13:36:51,success
11440,202108,2023-05-07 13:36:53,success
11440,202109,2023-05-07 13:36:54,success
11440,202110,2023-05-07 13:36:55,success
11440,202111,2023-05-07 13:36:56,success
11440,202112,2023-05-07 13:36:57,success
